X(mm),Y(mm),Z(mm)
204.0,96.0,0.0
240.0,156.0,0.0
504.0,336.0,0.0
516.0,348.0,0.0
648.0,444.0,0.0
660.0,456.0,0.0
696.0,468.0,0.0
744.0,468.0,0.0
768.0,396.0,0.0
648.0,348.0,0.0
372.0,144.0,0.0
348.0,120.0,0.0
252.0,48.0,0.0
900.0,720.0,0.0
1164.0,876.0,0.0
1368.0,864.0,0.0
1572.0,852.0,0.0
1704.0,852.0,0.0
1728.0,948.0,0.0
1740.0,1008.0,0.0
1740.0,1308.0,0.0
1740.0,1332.0,0.0
1740.0,1344.0,0.0
1740.0,1452.0,0.0
1596.0,1464.0,0.0
1500.0,1476.0,0.0
1392.0,1476.0,0.0
1332.0,1476.0,0.0
1260.0,1440.0,0.0
1128.0,1440.0,0.0
1128.0,1596.0,0.0
1188.0,1680.0,0.0
1308.0,1680.0,0.0
1620.0,1596.0,0.0
2028.0,1596.0,0.0
2280.0,1620.0,0.0
2448.0,1620.0,0.0
2448.0,1488.0,0.0
2268.0,1476.0,0.0
2160.0,1476.0,0.0
1944.0,1440.0,0.0
1872.0,996.0,0.0
1872.0,984.0,0.0
1884.0,888.0,0.0
1896.0,840.0,0.0
2160.0,828.0,0.0
2496.0,828.0,0.0
2676.0,840.0,0.0
2796.0,852.0,0.0
2784.0,708.0,0.0
1416.0,684.0,0.0
1188.0,636.0,0.0
1152.0,612.0,0.0
1056.0,576.0,0.0
84.0,1176.0,0.0
132.0,1212.0,0.0
240.0,1176.0,0.0
252.0,1164.0,0.0
372.0,1104.0,0.0
480.0,1044.0,0.0
528.0,972.0,0.0
468.0,924.0,0.0
324.0,996.0,0.0
288.0,1032.0,0.0
144.0,1104.0,0.0
120.0,1116.0,0.0
468.0,1716.0,0.0
312.0,1872.0,0.0
300.0,1884.0,0.0
348.0,1920.0,0.0
396.0,1908.0,0.0
408.0,1896.0,0.0
732.0,1572.0,0.0
732.0,1536.0,0.0
684.0,1536.0,0.0
624.0,1584.0,0.0
588.0,1596.0,0.0
204.0,132.0,2.142857142857143
492.0,324.0,2.142857142857143
504.0,336.0,2.142857142857143
576.0,396.0,2.142857142857143
648.0,444.0,2.142857142857143
672.0,456.0,2.142857142857143
708.0,468.0,2.142857142857143
756.0,432.0,2.142857142857143
684.0,360.0,2.142857142857143
648.0,336.0,2.142857142857143
360.0,132.0,2.142857142857143
288.0,48.0,2.142857142857143
216.0,48.0,2.142857142857143
900.0,876.0,2.142857142857143
1236.0,876.0,2.142857142857143
1500.0,852.0,2.142857142857143
1644.0,852.0,2.142857142857143
1716.0,864.0,2.142857142857143
1740.0,996.0,2.142857142857143
1740.0,1104.0,2.142857142857143
1740.0,1308.0,2.142857142857143
1740.0,1344.0,2.142857142857143
1740.0,1428.0,2.142857142857143
1716.0,1464.0,2.142857142857143
1548.0,1476.0,2.142857142857143
1440.0,1476.0,2.142857142857143
1344.0,1476.0,2.142857142857143
1308.0,1464.0,2.142857142857143
1236.0,1440.0,2.142857142857143
1128.0,1560.0,2.142857142857143
1128.0,1620.0,2.142857142857143
1272.0,1680.0,2.142857142857143
1320.0,1680.0,2.142857142857143
1956.0,1596.0,2.142857142857143
2148.0,1608.0,2.142857142857143
2340.0,1620.0,2.142857142857143
2448.0,1548.0,2.142857142857143
2304.0,1476.0,2.142857142857143
2256.0,1476.0,2.142857142857143
1956.0,1452.0,2.142857142857143
1872.0,996.0,2.142857142857143
1872.0,984.0,2.142857142857143
1884.0,936.0,2.142857142857143
1884.0,876.0,2.142857142857143
1980.0,840.0,2.142857142857143
2448.0,828.0,2.142857142857143
2592.0,840.0,2.142857142857143
2724.0,840.0,2.142857142857143
2796.0,780.0,2.142857142857143
2616.0,684.0,2.142857142857143
1248.0,684.0,2.142857142857143
1176.0,624.0,2.142857142857143
1104.0,576.0,2.142857142857143
912.0,588.0,2.142857142857143
96.0,1212.0,2.142857142857143
156.0,1212.0,2.142857142857143
252.0,1164.0,2.142857142857143
276.0,1152.0,2.142857142857143
468.0,1056.0,2.142857142857143
528.0,1032.0,2.142857142857143
528.0,924.0,2.142857142857143
408.0,924.0,2.142857142857143
300.0,1020.0,2.142857142857143
240.0,1056.0,2.142857142857143
132.0,1116.0,2.142857142857143
84.0,1140.0,2.142857142857143
456.0,1716.0,2.142857142857143
300.0,1872.0,2.142857142857143
312.0,1920.0,2.142857142857143
360.0,1920.0,2.142857142857143
384.0,1920.0,2.142857142857143
720.0,1584.0,2.142857142857143
732.0,1560.0,2.142857142857143
708.0,1536.0,2.142857142857143
636.0,1572.0,2.142857142857143
612.0,1584.0,2.142857142857143
204.0,96.0,4.285714285714286
240.0,156.0,4.285714285714286
504.0,336.0,4.285714285714286
516.0,348.0,4.285714285714286
648.0,444.0,4.285714285714286
660.0,456.0,4.285714285714286
696.0,468.0,4.285714285714286
744.0,468.0,4.285714285714286
768.0,396.0,4.285714285714286
648.0,348.0,4.285714285714286
372.0,144.0,4.285714285714286
348.0,120.0,4.285714285714286
252.0,48.0,4.285714285714286
900.0,720.0,4.285714285714286
1164.0,876.0,4.285714285714286
1368.0,864.0,4.285714285714286
1572.0,852.0,4.285714285714286
1704.0,852.0,4.285714285714286
1728.0,948.0,4.285714285714286
1740.0,1008.0,4.285714285714286
1740.0,1308.0,4.285714285714286
1740.0,1332.0,4.285714285714286
1740.0,1344.0,4.285714285714286
1740.0,1452.0,4.285714285714286
1596.0,1464.0,4.285714285714286
1500.0,1476.0,4.285714285714286
1392.0,1476.0,4.285714285714286
1332.0,1476.0,4.285714285714286
1260.0,1440.0,4.285714285714286
1128.0,1440.0,4.285714285714286
1128.0,1596.0,4.285714285714286
1188.0,1680.0,4.285714285714286
1308.0,1680.0,4.285714285714286
1620.0,1596.0,4.285714285714286
2028.0,1596.0,4.285714285714286
2280.0,1620.0,4.285714285714286
2448.0,1620.0,4.285714285714286
2448.0,1488.0,4.285714285714286
2268.0,1476.0,4.285714285714286
2160.0,1476.0,4.285714285714286
1944.0,1440.0,4.285714285714286
1872.0,996.0,4.285714285714286
1872.0,984.0,4.285714285714286
1884.0,888.0,4.285714285714286
1896.0,840.0,4.285714285714286
2160.0,828.0,4.285714285714286
2496.0,828.0,4.285714285714286
2676.0,840.0,4.285714285714286
2796.0,852.0,4.285714285714286
2784.0,708.0,4.285714285714286
1416.0,684.0,4.285714285714286
1188.0,636.0,4.285714285714286
1152.0,612.0,4.285714285714286
1056.0,576.0,4.285714285714286
84.0,1176.0,4.285714285714286
132.0,1212.0,4.285714285714286
240.0,1176.0,4.285714285714286
252.0,1164.0,4.285714285714286
372.0,1104.0,4.285714285714286
480.0,1044.0,4.285714285714286
528.0,972.0,4.285714285714286
468.0,924.0,4.285714285714286
324.0,996.0,4.285714285714286
288.0,1032.0,4.285714285714286
144.0,1104.0,4.285714285714286
120.0,1116.0,4.285714285714286
468.0,1716.0,4.285714285714286
312.0,1872.0,4.285714285714286
300.0,1884.0,4.285714285714286
348.0,1920.0,4.285714285714286
396.0,1908.0,4.285714285714286
408.0,1896.0,4.285714285714286
732.0,1572.0,4.285714285714286
732.0,1536.0,4.285714285714286
684.0,1536.0,4.285714285714286
624.0,1584.0,4.285714285714286
588.0,1596.0,4.285714285714286
204.0,132.0,6.428571428571429
492.0,324.0,6.428571428571429
504.0,336.0,6.428571428571429
576.0,396.0,6.428571428571429
648.0,444.0,6.428571428571429
672.0,456.0,6.428571428571429
708.0,468.0,6.428571428571429
756.0,432.0,6.428571428571429
684.0,360.0,6.428571428571429
648.0,336.0,6.428571428571429
360.0,132.0,6.428571428571429
288.0,48.0,6.428571428571429
216.0,48.0,6.428571428571429
900.0,876.0,6.428571428571429
1236.0,876.0,6.428571428571429
1500.0,852.0,6.428571428571429
1644.0,852.0,6.428571428571429
1716.0,864.0,6.428571428571429
1740.0,996.0,6.428571428571429
1740.0,1104.0,6.428571428571429
1740.0,1308.0,6.428571428571429
1740.0,1344.0,6.428571428571429
1740.0,1428.0,6.428571428571429
1716.0,1464.0,6.428571428571429
1548.0,1476.0,6.428571428571429
1440.0,1476.0,6.428571428571429
1344.0,1476.0,6.428571428571429
1308.0,1464.0,6.428571428571429
1236.0,1440.0,6.428571428571429
1128.0,1560.0,6.428571428571429
1128.0,1620.0,6.428571428571429
1272.0,1680.0,6.428571428571429
1320.0,1680.0,6.428571428571429
1956.0,1596.0,6.428571428571429
2148.0,1608.0,6.428571428571429
2340.0,1620.0,6.428571428571429
2448.0,1548.0,6.428571428571429
2304.0,1476.0,6.428571428571429
2256.0,1476.0,6.428571428571429
1956.0,1452.0,6.428571428571429
1872.0,996.0,6.428571428571429
1872.0,984.0,6.428571428571429
1884.0,936.0,6.428571428571429
1884.0,876.0,6.428571428571429
1980.0,840.0,6.428571428571429
2448.0,828.0,6.428571428571429
2592.0,840.0,6.428571428571429
2724.0,840.0,6.428571428571429
2796.0,780.0,6.428571428571429
2616.0,684.0,6.428571428571429
1248.0,684.0,6.428571428571429
1176.0,624.0,6.428571428571429
1104.0,576.0,6.428571428571429
912.0,588.0,6.428571428571429
96.0,1212.0,6.428571428571429
156.0,1212.0,6.428571428571429
252.0,1164.0,6.428571428571429
276.0,1152.0,6.428571428571429
468.0,1056.0,6.428571428571429
528.0,1032.0,6.428571428571429
528.0,924.0,6.428571428571429
408.0,924.0,6.428571428571429
300.0,1020.0,6.428571428571429
240.0,1056.0,6.428571428571429
132.0,1116.0,6.428571428571429
84.0,1140.0,6.428571428571429
456.0,1716.0,6.428571428571429
300.0,1872.0,6.428571428571429
312.0,1920.0,6.428571428571429
360.0,1920.0,6.428571428571429
384.0,1920.0,6.428571428571429
720.0,1584.0,6.428571428571429
732.0,1560.0,6.428571428571429
708.0,1536.0,6.428571428571429
636.0,1572.0,6.428571428571429
612.0,1584.0,6.428571428571429
204.0,96.0,8.571428571428571
240.0,156.0,8.571428571428571
504.0,336.0,8.571428571428571
516.0,348.0,8.571428571428571
648.0,444.0,8.571428571428571
660.0,456.0,8.571428571428571
696.0,468.0,8.571428571428571
744.0,468.0,8.571428571428571
768.0,396.0,8.571428571428571
648.0,348.0,8.571428571428571
372.0,144.0,8.571428571428571
348.0,120.0,8.571428571428571
252.0,48.0,8.571428571428571
900.0,720.0,8.571428571428571
1164.0,876.0,8.571428571428571
1368.0,864.0,8.571428571428571
1572.0,852.0,8.571428571428571
1704.0,852.0,8.571428571428571
1728.0,948.0,8.571428571428571
1740.0,1008.0,8.571428571428571
1740.0,1308.0,8.571428571428571
1740.0,1332.0,8.571428571428571
1740.0,1344.0,8.571428571428571
1740.0,1452.0,8.571428571428571
1596.0,1464.0,8.571428571428571
1500.0,1476.0,8.571428571428571
1392.0,1476.0,8.571428571428571
1332.0,1476.0,8.571428571428571
1260.0,1440.0,8.571428571428571
1128.0,1440.0,8.571428571428571
1128.0,1596.0,8.571428571428571
1188.0,1680.0,8.571428571428571
1308.0,1680.0,8.571428571428571
1620.0,1596.0,8.571428571428571
2028.0,1596.0,8.571428571428571
2280.0,1620.0,8.571428571428571
2448.0,1620.0,8.571428571428571
2448.0,1488.0,8.571428571428571
2268.0,1476.0,8.571428571428571
2160.0,1476.0,8.571428571428571
1944.0,1440.0,8.571428571428571
1872.0,996.0,8.571428571428571
1872.0,984.0,8.571428571428571
1884.0,888.0,8.571428571428571
1896.0,840.0,8.571428571428571
2160.0,828.0,8.571428571428571
2496.0,828.0,8.571428571428571
2676.0,840.0,8.571428571428571
2796.0,852.0,8.571428571428571
2784.0,708.0,8.571428571428571
1416.0,684.0,8.571428571428571
1188.0,636.0,8.571428571428571
1152.0,612.0,8.571428571428571
1056.0,576.0,8.571428571428571
84.0,1176.0,8.571428571428571
132.0,1212.0,8.571428571428571
240.0,1176.0,8.571428571428571
252.0,1164.0,8.571428571428571
372.0,1104.0,8.571428571428571
480.0,1044.0,8.571428571428571
528.0,972.0,8.571428571428571
468.0,924.0,8.571428571428571
324.0,996.0,8.571428571428571
288.0,1032.0,8.571428571428571
144.0,1104.0,8.571428571428571
120.0,1116.0,8.571428571428571
468.0,1716.0,8.571428571428571
312.0,1872.0,8.571428571428571
300.0,1884.0,8.571428571428571
348.0,1920.0,8.571428571428571
396.0,1908.0,8.571428571428571
408.0,1896.0,8.571428571428571
732.0,1572.0,8.571428571428571
732.0,1536.0,8.571428571428571
684.0,1536.0,8.571428571428571
624.0,1584.0,8.571428571428571
588.0,1596.0,8.571428571428571
204.0,132.0,10.714285714285714
492.0,324.0,10.714285714285714
504.0,336.0,10.714285714285714
576.0,396.0,10.714285714285714
648.0,444.0,10.714285714285714
672.0,456.0,10.714285714285714
708.0,468.0,10.714285714285714
756.0,432.0,10.714285714285714
684.0,360.0,10.714285714285714
648.0,336.0,10.714285714285714
360.0,132.0,10.714285714285714
288.0,48.0,10.714285714285714
216.0,48.0,10.714285714285714
900.0,876.0,10.714285714285714
1236.0,876.0,10.714285714285714
1500.0,852.0,10.714285714285714
1644.0,852.0,10.714285714285714
1716.0,864.0,10.714285714285714
1740.0,996.0,10.714285714285714
1740.0,1104.0,10.714285714285714
1740.0,1308.0,10.714285714285714
1740.0,1344.0,10.714285714285714
1740.0,1428.0,10.714285714285714
1716.0,1464.0,10.714285714285714
1548.0,1476.0,10.714285714285714
1440.0,1476.0,10.714285714285714
1344.0,1476.0,10.714285714285714
1308.0,1464.0,10.714285714285714
1236.0,1440.0,10.714285714285714
1128.0,1560.0,10.714285714285714
1128.0,1620.0,10.714285714285714
1272.0,1680.0,10.714285714285714
1320.0,1680.0,10.714285714285714
1956.0,1596.0,10.714285714285714
2148.0,1608.0,10.714285714285714
2340.0,1620.0,10.714285714285714
2448.0,1548.0,10.714285714285714
2304.0,1476.0,10.714285714285714
2256.0,1476.0,10.714285714285714
1956.0,1452.0,10.714285714285714
1872.0,996.0,10.714285714285714
1872.0,984.0,10.714285714285714
1884.0,936.0,10.714285714285714
1884.0,876.0,10.714285714285714
1980.0,840.0,10.714285714285714
2448.0,828.0,10.714285714285714
2592.0,840.0,10.714285714285714
2724.0,840.0,10.714285714285714
2796.0,780.0,10.714285714285714
2616.0,684.0,10.714285714285714
1248.0,684.0,10.714285714285714
1176.0,624.0,10.714285714285714
1104.0,576.0,10.714285714285714
912.0,588.0,10.714285714285714
96.0,1212.0,10.714285714285714
156.0,1212.0,10.714285714285714
252.0,1164.0,10.714285714285714
276.0,1152.0,10.714285714285714
468.0,1056.0,10.714285714285714
528.0,1032.0,10.714285714285714
528.0,924.0,10.714285714285714
408.0,924.0,10.714285714285714
300.0,1020.0,10.714285714285714
240.0,1056.0,10.714285714285714
132.0,1116.0,10.714285714285714
84.0,1140.0,10.714285714285714
456.0,1716.0,10.714285714285714
300.0,1872.0,10.714285714285714
312.0,1920.0,10.714285714285714
360.0,1920.0,10.714285714285714
384.0,1920.0,10.714285714285714
720.0,1584.0,10.714285714285714
732.0,1560.0,10.714285714285714
708.0,1536.0,10.714285714285714
636.0,1572.0,10.714285714285714
612.0,1584.0,10.714285714285714
204.0,96.0,12.857142857142858
240.0,156.0,12.857142857142858
504.0,336.0,12.857142857142858
516.0,348.0,12.857142857142858
648.0,444.0,12.857142857142858
660.0,456.0,12.857142857142858
696.0,468.0,12.857142857142858
744.0,468.0,12.857142857142858
768.0,396.0,12.857142857142858
648.0,348.0,12.857142857142858
372.0,144.0,12.857142857142858
348.0,120.0,12.857142857142858
252.0,48.0,12.857142857142858
900.0,720.0,12.857142857142858
1164.0,876.0,12.857142857142858
1368.0,864.0,12.857142857142858
1572.0,852.0,12.857142857142858
1704.0,852.0,12.857142857142858
1728.0,948.0,12.857142857142858
1740.0,1008.0,12.857142857142858
1740.0,1308.0,12.857142857142858
1740.0,1332.0,12.857142857142858
1740.0,1344.0,12.857142857142858
1740.0,1452.0,12.857142857142858
1596.0,1464.0,12.857142857142858
1500.0,1476.0,12.857142857142858
1392.0,1476.0,12.857142857142858
1332.0,1476.0,12.857142857142858
1260.0,1440.0,12.857142857142858
1128.0,1440.0,12.857142857142858
1128.0,1596.0,12.857142857142858
1188.0,1680.0,12.857142857142858
1308.0,1680.0,12.857142857142858
1620.0,1596.0,12.857142857142858
2028.0,1596.0,12.857142857142858
2280.0,1620.0,12.857142857142858
2448.0,1620.0,12.857142857142858
2448.0,1488.0,12.857142857142858
2268.0,1476.0,12.857142857142858
2160.0,1476.0,12.857142857142858
1944.0,1440.0,12.857142857142858
1872.0,996.0,12.857142857142858
1872.0,984.0,12.857142857142858
1884.0,888.0,12.857142857142858
1896.0,840.0,12.857142857142858
2160.0,828.0,12.857142857142858
2496.0,828.0,12.857142857142858
2676.0,840.0,12.857142857142858
2796.0,852.0,12.857142857142858
2784.0,708.0,12.857142857142858
1416.0,684.0,12.857142857142858
1188.0,636.0,12.857142857142858
1152.0,612.0,12.857142857142858
1056.0,576.0,12.857142857142858
84.0,1176.0,12.857142857142858
132.0,1212.0,12.857142857142858
240.0,1176.0,12.857142857142858
252.0,1164.0,12.857142857142858
372.0,1104.0,12.857142857142858
480.0,1044.0,12.857142857142858
528.0,972.0,12.857142857142858
468.0,924.0,12.857142857142858
324.0,996.0,12.857142857142858
288.0,1032.0,12.857142857142858
144.0,1104.0,12.857142857142858
120.0,1116.0,12.857142857142858
468.0,1716.0,12.857142857142858
312.0,1872.0,12.857142857142858
300.0,1884.0,12.857142857142858
348.0,1920.0,12.857142857142858
396.0,1908.0,12.857142857142858
408.0,1896.0,12.857142857142858
732.0,1572.0,12.857142857142858
732.0,1536.0,12.857142857142858
684.0,1536.0,12.857142857142858
624.0,1584.0,12.857142857142858
588.0,1596.0,12.857142857142858
204.0,132.0,15.0
492.0,324.0,15.0
504.0,336.0,15.0
576.0,396.0,15.0
648.0,444.0,15.0
672.0,456.0,15.0
708.0,468.0,15.0
756.0,432.0,15.0
684.0,360.0,15.0
648.0,336.0,15.0
360.0,132.0,15.0
288.0,48.0,15.0
216.0,48.0,15.0
900.0,876.0,15.0
1236.0,876.0,15.0
1500.0,852.0,15.0
1644.0,852.0,15.0
1716.0,864.0,15.0
1740.0,996.0,15.0
1740.0,1104.0,15.0
1740.0,1308.0,15.0
1740.0,1344.0,15.0
1740.0,1428.0,15.0
1716.0,1464.0,15.0
1548.0,1476.0,15.0
1440.0,1476.0,15.0
1344.0,1476.0,15.0
1308.0,1464.0,15.0
1236.0,1440.0,15.0
1128.0,1560.0,15.0
1128.0,1620.0,15.0
1272.0,1680.0,15.0
1320.0,1680.0,15.0
1956.0,1596.0,15.0
2148.0,1608.0,15.0
2340.0,1620.0,15.0
2448.0,1548.0,15.0
2304.0,1476.0,15.0
2256.0,1476.0,15.0
1956.0,1452.0,15.0
1872.0,996.0,15.0
1872.0,984.0,15.0
1884.0,936.0,15.0
1884.0,876.0,15.0
1980.0,840.0,15.0
2448.0,828.0,15.0
2592.0,840.0,15.0
2724.0,840.0,15.0
2796.0,780.0,15.0
2616.0,684.0,15.0
1248.0,684.0,15.0
1176.0,624.0,15.0
1104.0,576.0,15.0
912.0,588.0,15.0
96.0,1212.0,15.0
156.0,1212.0,15.0
252.0,1164.0,15.0
276.0,1152.0,15.0
468.0,1056.0,15.0
528.0,1032.0,15.0
528.0,924.0,15.0
408.0,924.0,15.0
300.0,1020.0,15.0
240.0,1056.0,15.0
132.0,1116.0,15.0
84.0,1140.0,15.0
456.0,1716.0,15.0
300.0,1872.0,15.0
312.0,1920.0,15.0
360.0,1920.0,15.0
384.0,1920.0,15.0
720.0,1584.0,15.0
732.0,1560.0,15.0
708.0,1536.0,15.0
636.0,1572.0,15.0
612.0,1584.0,15.0
